Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers
Azure Cloud Architect,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Azure%20Cloud%20Architect,"Azure Cloud Architect Masterâ€™s Program will help you master the Azure infrastructure by understanding Azure Cloud Architect Technology Solutions, implementing workloads and security in Azure, creating and deploying apps in Azure, and securing data in Azure.",Simplilearn,,,,Masters Program,,Cloud Computing,,
Big Data Engineer,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Big%20Data%20Engineer,"This Big Data Engineer course features masterclasses and Ask me anything sessions by IBM experts. Learn job critical skills with our master's program, like Big Data & Hadoop frameworks, and leverage the functionality of AWS services. The Big Data Engineer course helps you learn to use the database management tool and MongoDB via interactive sessions & industry projects.",Simplilearn,,,,Masters Program,,Big Data,,
Lean Six Sigma Expert,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Lean%20Six%20Sigma%20Expert,"Customized learning paths, 4x outcomes & completion rates; award-winning client support.",Simplilearn,,,,Masters Program,,Quality Management,,
Azure DevOps Solutions Expert,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Azure%20DevOps%20Solutions%20Expert,"Become an industry-ready professional with the Azure DevOps Solutions Expert masters program, which will prepare you for a career in Cloud and DevOps industry. In this course, you will learn to plan smarter, collaborate better, and ship faster with a set of modern dev services.",Simplilearn,,,,Masters Program,,Cloud Computing,,
Cyber Security Expert,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Cyber%20Security%20Expert,"Customized learning paths, 4x outcomes & completion rates; award-winning client support.",Simplilearn,,,,Masters Program,,Cyber Security,,
Digital Marketing Specialist,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Digital%20Marketing%20Specialist,"Digital Marketing Certification Online Course transforms you into a digital market specialist in domains like SEO, social media, pay-per-click, conversion optimization, digital analytics, content, mobile, & email marketing. Get 12-month access to Digital Marketing Program & become industry-ready with the latest tools, work on real-world projects, and attend Expert Sessions from the Facebook team.",Simplilearn,, Rated #1 Digital Marketing Course by  Search Engine Journal,  Search Engine Journal,Masters Program,,Digital Marketing,,
Full Stack Developer - MEAN Stack,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Full%20Stack%20Developer%20-%20MEAN%20Stack,This comprehensive curriculum covers more than 15 software development tools and technologies to make your profile stand out as a MEAN stack developer.,Simplilearn,,,,Master's Program,ter',Software Development,,
ITIL 4 Managing Professional,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=ITIL%204%20Managing%20Professional,"Customized learning paths, 4x outcomes & completion rates; award-winning client support.",Simplilearn,,,,Masters Program,,IT Service and Architecture,,
UI/UX Design Expert,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=UI/UX%20Design%20Expert,"In this hands-on UI/UX Design Masters Program, you will cover comprehensive approaches to all UI/UX design development stages. You will learn the concepts of UX research, design thinking, UI prototyping and styling, information architecture, usability and testing.",Simplilearn,,,,Master's Program,ter',Software Development,,
Automation Test Engineer,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Automation%20Test%20Engineer,This comprehensive curriculum covers more than 15 automation testing tools and technologies to make your profile stand out as an Automation Test Engineer.,Simplilearn,,,,Master's Program,ter',Software Development,,
